Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025
excel business intelligence,JPY,2400,0%,-17%,Low,16,33,340,,,,,,2400,2400,2400,2400,2400,2400,1900,1900,2400,2400,2400,2400
bi cloud,JPY,2400,24%,50%,Low,9,48,690,,,,,,1900,1900,1600,1900,1900,1900,1900,1900,2900,2900,3600,3600
windows power bi,JPY,260,24%,0%,Low,9,56,434,,,,,,260,260,260,210,210,260,210,170,210,210,320,260
power bi datacamp,JPY,390,-19%,0%,Low,22,40,611,,,,,,320,320,320,320,320,260,260,260,320,320,1300,260
azure cost management power bi,JPY,210,-18%,-46%,Low,16,561,2188,,,,,,260,210,260,170,170,210,210,170,210,170,210,140
data science power bi,JPY,210,0%,-19%,Medium,48,64,395,,,,,,260,260,260,210,210,210,170,170,210,170,170,170
powerpoint bi,JPY,480,23%,0%,Low,19,32,473,,,,,,480,480,480,390,480,480,390,390,390,390,390,480
microsoft power business intelligence,JPY,110000,0%,0%,Low,12,40,450,,,,,,110000,135000,110000,110000,110000,110000,110000,90500,135000,110000,135000,110000
powerbi tool,JPY,4400,0%,-19%,Low,22,40,573,,,,,,5400,5400,5400,4400,4400,4400,4400,4400,5400,4400,5400,4400
oracle power bi,JPY,720,0%,-33%,Low,8,152,3188,,,,,,880,720,720,720,720,720,590,480,480,590,720,590
microsoft office power bi,JPY,480,0%,0%,Low,28,35,389,,,,,,590,480,480,480,480,480,390,390,480,480,480,480
looker tableau,JPY,260,50%,50%,Low,9,115,1113,,,,,,320,320,320,320,260,260,210,170,260,260,320,390
power bi on premise,JPY,1300,0%,-19%,Low,6,93,1876,,,,,,1600,1600,1600,1300,1300,1600,1300,1000,1300,1300,1600,1300
microsoft power bi dashboard,JPY,720,-63%,0%,Low,13,91,1017,,,,,,590,480,590,480,590,720,720,590,1000,1600,1000,590
power bi pl300,JPY,1900,0%,0%,Medium,37,65,561,,,,,,1900,1900,1900,1900,1900,1900,1600,1600,2400,1900,2400,1900
power bi 101,JPY,390,22%,0%,Low,31,99,580,,,,,,480,390,320,320,320,390,320,320,320,320,390,390
bi analysis,JPY,320,-19%,-33%,Low,17,140,990,,,,,,390,320,320,260,320,390,320,260,320,320,320,260
introducing microsoft power bi,JPY,210,0%,-19%,Low,29,55,397,,,,,,260,260,210,210,210,210,170,170,170,170,210,170
power bi enterprise,JPY,480,-19%,-19%,Low,10,126,1136,,,,,,590,480,480,480,480,390,390,320,390,480,480,390
power bi and excel,JPY,4400,0%,-19%,Low,15,43,408,,,,,,5400,5400,5400,4400,4400,4400,4400,3600,4400,4400,4400,4400
power bi statistical analysis,JPY,140,0%,-21%,Low,14,205,816,,,,,,140,140,110,140,170,140,140,90,110,110,140,110
power bi azure cost management,JPY,140,0%,-18%,Low,23,629,1983,,,,,,170,170,170,140,110,140,110,140,140,140,170,140
codebasics power bi,JPY,320,0%,0%,Medium,34,31,115,,,,,,320,390,480,390,390,260,260,260,320,260,320,260
power bi self service,JPY,260,-19%,-34%,Low,5,196,818,,,,,,320,320,210,260,260,320,260,140,260,260,320,210
power bi and sql,JPY,1900,0%,0%,Low,16,48,486,,,,,,2400,1900,1900,1600,1600,1600,1900,1600,1600,1900,1900,1900
power bi microsoft com,JPY,3600,0%,24%,Low,8,118,1107,,,,,,2900,3600,4400,3600,3600,3600,3600,2900,4400,3600,3600,3600
arcgis power bi,JPY,1000,-23%,-23%,Low,2,120,1479,,,,,,1300,1000,1000,1000,1000,1300,1000,880,1000,1300,1300,1000
power bi analysis services,JPY,480,-19%,-89%,Low,10,304,1761,,,,,,2400,320,390,320,320,320,260,260,260,320,320,260
power bi sentiment analysis,JPY,210,-19%,-35%,Low,4,286,919,,,,,,320,260,260,210,210,210,210,140,170,210,170,170
power bi snowflake,JPY,720,-18%,-18%,Low,7,310,1443,,,,,,720,720,720,590,590,720,590,480,590,720,720,590
azure devops power bi,JPY,320,23%,-18%,Low,7,219,1324,,,,,,390,320,390,320,320,260,260,260,320,260,320,320
bi it,JPY,135000,-19%,-33%,Low,16,65,635,,,,,,165000,135000,135000,135000,135000,135000,135000,110000,135000,135000,135000,110000
dynamics 365 power bi,JPY,480,-19%,-33%,Low,12,171,1257,,,,,,590,480,590,480,480,590,390,390,480,590,590,480
leonardo karpinski,JPY,590,0%,-33%,Low,19,25,123,,,,,,880,720,720,720,720,720,590,390,480,480,390,480
power bi devops,JPY,210,-33%,-56%,Low,7,113,1119,,,,,,260,260,210,210,210,260,170,140,210,210,210,140
data analysis power bi,JPY,260,-19%,0%,Medium,36,49,392,,,,,,260,260,320,260,260,210,210,170,260,260,210,210
sharepoint power bi,JPY,720,0%,-18%,Low,3,7,577,,,,,,880,880,720,720,720,720,590,590,590,720,720,720
powerbiservice,JPY,60500,-18%,22%,Low,5,132,3689,,,,,,60500,49500,60500,60500,60500,60500,60500,49500,74000,74000,74000,60500
teams power bi,JPY,390,22%,-34%,Low,6,95,471,,,,,,480,480,390,320,390,390,390,320,320,320,390,390
bi expert,JPY,480,0%,-19%,Low,9,89,800,,,,,,590,720,590,480,480,480,590,390,390,480,480,480
power bi w3schools,JPY,1000,-23%,14%,Low,5,31,344,,,,,,1000,1000,1300,1300,1000,880,1000,1300,1300,1300,1300,1000
appsource power bi,JPY,320,0%,0%,Low,5,59,703,,,,,,320,320,320,260,260,320,260,320,320,320,320,320
odoo power bi,JPY,260,-19%,-34%,Low,13,87,789,,,,,,390,320,320,260,260,320,260,210,210,260,320,210
power bi data science academy,JPY,210,24%,0%,Medium,46,32,130,,,,,,260,210,210,260,210,260,210,170,210,210,260,260
power bi web service,JPY,480,23%,23%,Low,7,209,1443,,,,,,480,390,390,390,390,590,390,320,480,390,480,480
best power bi dashboard,JPY,1300,0%,0%,Low,14,172,689,,,,,,1600,1300,1300,1300,1600,1300,1300,1000,1300,1300,1600,1300
power bi teams,JPY,590,0%,-33%,Low,4,158,1044,,,,,,720,720,590,480,480,590,480,390,480,480,590,480
powerbionline,JPY,140,0%,0%,Low,3,67,667,,,,,,140,140,170,140,140,170,140,110,140,140,140,140
leila gharani power bi,JPY,140,56%,-18%,Low,18,85,600,,,,,,140,170,170,140,170,110,90,110,110,90,110,140
power bi google sheets,JPY,720,0%,-18%,Low,7,5,496,,,,,,720,720,720,720,720,720,590,480,720,590,720,590
power bi data science,JPY,170,27%,-18%,Low,32,64,429,,,,,,210,170,170,170,170,140,110,110,170,110,140,140
power bi for data analytics,JPY,70,0%,-22%,Low,32,56,628,,,,,,110,70,90,70,70,70,70,50,70,70,90,70
bi sql,JPY,390,23%,23%,Low,10,113,867,,,,,,390,320,320,480,390,390,320,320,320,390,480,480
power bi in powerpoint,JPY,1600,0%,-33%,Low,3,88,1100,,,,,,1900,1900,1900,1600,1600,1900,1600,1300,1600,1600,1600,1600
pl300 microsoft,JPY,1600,0%,0%,Low,24,43,413,,,,,,1900,1600,1900,1600,1600,1600,1600,1300,1600,1600,1600,1600
zebra power bi,JPY,320,-19%,-19%,Low,6,23,1003,,,,,,390,260,320,260,260,320,260,210,260,320,390,260
avi singh power bi,JPY,140,-18%,56%,Low,20,46,424,,,,,,90,110,110,70,110,90,90,260,210,170,140,140
beautiful power bi dashboard,JPY,480,0%,23%,Low,7,183,774,,,,Y,,590,480,480,590,590,590,480,480,480,590,590,590
power bi appsource,JPY,210,24%,0%,Low,2,39,271,,,,,,210,260,260,170,210,260,210,210,210,210,260,260
power bi analysis,JPY,320,0%,-18%,Low,20,56,543,,,,,,390,390,320,320,390,390,320,320,320,320,390,320
power bi macos,JPY,1600,-16%,-16%,Low,3,55,494,,,,,,1900,1600,1600,1600,1600,1900,1600,1300,1600,1900,1900,1600
powerbilogin,JPY,135000,0%,-18%,Low,0,33,255,,,,,,165000,165000,165000,135000,135000,165000,135000,135000,135000,135000,135000,135000
data analysis in power bi,JPY,170,0%,-18%,Low,20,35,267,,,,,,210,210,320,170,110,140,140,170,170,140,210,140
mastering microsoft power bi,JPY,210,-33%,-33%,High,69,42,547,,,,,,210,260,210,210,210,170,170,210,210,210,170,140
databricks power bi,JPY,480,50%,22%,Low,6,235,2067,,,,,,480,590,590,390,480,590,480,390,390,480,590,720
analysis services power bi,JPY,480,-19%,-89%,Low,10,304,1761,,,,,,2400,320,390,320,320,320,260,260,260,320,320,260
power bi powerpoint,JPY,1600,0%,-33%,Low,3,88,1100,,,,,,1900,1900,1900,1600,1600,1900,1600,1300,1600,1600,1600,1600
power bi databricks,JPY,390,23%,0%,Low,5,266,2057,,,,,,480,480,390,390,480,480,390,260,390,390,390,480
use of power bi,JPY,1000,0%,-12%,Low,6,24,352,,,,,,1000,1000,1300,1000,1000,880,880,880,1000,880,880,880
powerbi tutorialspoint,JPY,260,0%,-34%,Low,4,23,107,,,,,,390,320,320,260,260,260,260,210,320,210,260,210
sentiment analysis power bi,JPY,170,0%,-46%,Low,1,393,697,,,,,,210,260,210,170,210,210,140,140,140,140,170,140
power bi reporting services,JPY,320,0%,-33%,Low,17,163,3241,,,,,,390,320,320,320,390,320,260,210,260,260,320,260
enterprisedna,JPY,2400,-21%,-34%,Low,15,36,163,,,,,,2900,2400,2400,2400,2400,2400,2400,1900,1900,2400,2400,1900
power bi sap hana,JPY,210,23%,52%,Low,6,227,935,,,,,,260,210,170,170,140,140,140,110,140,260,480,320
power bi postgresql,JPY,1000,0%,-32%,Low,3,60,792,,,,,,1300,1300,1000,1000,1000,1000,1000,880,880,880,1000,880
power bi and sharepoint,JPY,1600,0%,-16%,Low,3,78,597,,,,,,1900,1900,1900,1600,1600,1600,1600,1300,1300,1600,1600,1600
power bi mysql,JPY,720,0%,-28%,Low,3,51,514,,,,,,1000,880,880,880,720,880,720,720,720,720,720,720
power bi publisher for excel,JPY,210,-19%,0%,Low,5,188,955,,,,,,210,210,260,210,210,260,260,210,210,210,260,170
azure synapse power bi,JPY,50,25%,-44%,Low,1,,,,,,,,90,70,70,50,50,70,50,40,50,40,70,50
powerbiapp,JPY,22200,0%,23%,Low,2,46,693,,,,,,22200,18100,22200,18100,18100,22200,18100,18100,22200,22200,22200,22200
sql in power bi,JPY,480,-19%,-34%,Low,4,35,400,,,,,,590,480,480,480,390,480,390,320,390,480,390,390
